Date,Town,Sale Amount
02/08,Ansonia,255412.18
03/08,Ansonia,255412.18
04/08,Ansonia,255412.18
05/08,Ansonia,255412.18
06/08,Ansonia,255412.18
07/08,Ansonia,255412.18
08/08,Ansonia,255412.18
09/08,Ansonia,255412.18
10/08,Ansonia,240615.79
11/08,Ansonia,170642.86
12/08,Ansonia,207183.93
01/09,Ansonia,212062.5
02/09,Ansonia,189392.5
03/09,Ansonia,184125.0
04/09,Ansonia,144725.0
05/09,Ansonia,234250.0
06/09,Ansonia,256800.0
07/09,Ansonia,229371.57
08/09,Ansonia,211166.67
09/09,Ansonia,160726.3
10/09,Ansonia,226893.75
11/09,Ansonia,189420.83
12/09,Ansonia,201769.23
01/10,Ansonia,129000.0
02/10,Ansonia,187000.0
03/10,Ansonia,175410.0
04/10,Ansonia,178464.84
05/10,Ansonia,178957.46
06/10,Ansonia,170454.67
07/10,Ansonia,209492.86
08/10,Ansonia,149937.5
09/10,Ansonia,254500.0
10/10,Ansonia,175900.0
11/10,Ansonia,182474.67
12/10,Ansonia,205642.29
01/11,Ansonia,138811.11
02/11,Ansonia,176066.6
03/11,Ansonia,160954.73
04/11,Ansonia,151853.85
05/11,Ansonia,173909.09
06/11,Ansonia,205927.67
07/11,Ansonia,172294.9
08/11,Ansonia,170474.94
09/11,Ansonia,149700.0
10/11,Ansonia,159963.64
11/11,Ansonia,174172.73
12/11,Ansonia,153672.31
01/12,Ansonia,183666.67
02/12,Ansonia,94842.5
03/12,Ansonia,135038.24
04/12,Ansonia,163100.79
05/12,Ansonia,154191.67
06/12,Ansonia,160936.36
07/12,Ansonia,161450.0
08/12,Ansonia,166760.0
09/12,Ansonia,160711.36
10/12,Ansonia,224344.61
11/12,Ansonia,224344.61
12/12,Ansonia,224344.61
01/13,Ansonia,224344.61
02/13,Ansonia,224344.61
03/13,Ansonia,224344.61
04/13,Ansonia,224344.61
05/13,Ansonia,224344.61
06/13,Ansonia,224344.61
07/13,Ansonia,224344.61
08/13,Ansonia,224344.61
09/13,Ansonia,224344.61
10/13,Ansonia,170647.83
11/13,Ansonia,181771.64
12/13,Ansonia,147540.38
01/14,Ansonia,140727.27
02/14,Ansonia,154972.78
03/14,Ansonia,133263.64
04/14,Ansonia,145179.72
05/14,Ansonia,178562.42
06/14,Ansonia,165502.38
07/14,Ansonia,146594.44
08/14,Ansonia,147898.61
09/14,Ansonia,180661.64
10/14,Ansonia,164589.4
11/14,Ansonia,159650.0
12/14,Ansonia,140210.53
01/15,Ansonia,127988.89
02/15,Ansonia,157889.29
03/15,Ansonia,146923.53
04/15,Ansonia,179031.25
05/15,Ansonia,150620.71
06/15,Ansonia,121340.24
07/15,Ansonia,163680.86
08/15,Ansonia,176511.83
09/15,Ansonia,164190.38
10/15,Ansonia,155182.48
11/15,Ansonia,127285.71
12/15,Ansonia,156618.43
01/16,Ansonia,112816.58
02/16,Ansonia,137050.96
03/16,Ansonia,148161.32
04/16,Ansonia,147204.42
05/16,Ansonia,156104.28
06/16,Ansonia,165410.31
07/16,Ansonia,157129.17
08/16,Ansonia,192888.17
09/16,Ansonia,156959.05
10/16,Ansonia,175402.27
11/16,Ansonia,171370.42
12/16,Ansonia,177203.33
01/17,Ansonia,156216.28
02/17,Ansonia,167686.0
03/17,Ansonia,149806.25
04/17,Ansonia,180693.33
05/17,Ansonia,168684.07
06/17,Ansonia,172565.04
07/17,Ansonia,181648.5
08/17,Ansonia,199447.47
09/17,Ansonia,172758.63
10/17,Ansonia,166142.25
11/17,Ansonia,180158.88
12/17,Ansonia,189212.5
01/18,Ansonia,166256.25
02/18,Ansonia,177792.5
03/18,Ansonia,156925.0
04/18,Ansonia,207916.0
05/18,Ansonia,179137.04
06/18,Ansonia,220183.85
07/18,Ansonia,202256.43
08/18,Ansonia,216836.84
09/18,Ansonia,226081.62
10/18,Ansonia,172862.5
11/18,Ansonia,196622.22
12/18,Ansonia,211702.45
01/19,Ansonia,182835.77
02/19,Ansonia,181192.5
03/19,Ansonia,156604.5
04/19,Ansonia,218402.44
05/19,Ansonia,201311.54
06/19,Ansonia,218136.0
07/19,Ansonia,198514.56
08/19,Ansonia,211780.95
09/19,Ansonia,223587.5
10/19,Ansonia,197095.54
11/19,Ansonia,200783.47
12/19,Ansonia,193521.43
01/20,Ansonia,203868.44
02/20,Ansonia,194970.59
03/20,Ansonia,181605.68
04/20,Ansonia,234740.0
05/20,Ansonia,225881.82
06/20,Ansonia,200586.87
07/20,Ansonia,213386.67
08/20,Ansonia,226286.96
09/20,Ansonia,239044.12
10/20,Ansonia,238441.72
11/20,Ansonia,252284.48
12/20,Ansonia,248030.22
01/21,Ansonia,253740.0
02/21,Ansonia,237369.05
03/21,Ansonia,255561.9
04/21,Ansonia,212532.14
05/21,Ansonia,255493.1
06/21,Ansonia,275181.82
07/21,Ansonia,268259.68
08/21,Ansonia,244866.63
09/21,Ansonia,263910.19
10/21,Ansonia,273498.08
11/21,Ansonia,275241.67
12/21,Ansonia,261562.5
01/22,Ansonia,265014.58
02/22,Ansonia,303066.67
03/22,Ansonia,281392.86
04/22,Ansonia,271276.0
05/22,Ansonia,288459.19
06/22,Ansonia,281939.67
07/22,Ansonia,323600.0
08/22,Ansonia,301832.14
09/22,Ansonia,278463.64
10/22,Ansonia,210959.13
11/22,Ansonia,210959.13
12/22,Ansonia,210959.13
10/06,Ashford,232475.0
11/06,Ashford,163100.0
12/06,Ashford,227362.64
01/07,Ashford,202225.0
02/07,Ashford,220200.0
03/07,Ashford,244600.0
04/07,Ashford,220933.33
05/07,Ashford,237985.71
06/07,Ashford,282237.5
07/07,Ashford,255980.0
08/07,Ashford,257315.0
09/07,Ashford,313975.0
10/07,Ashford,233470.5
11/07,Ashford,233470.5
12/07,Ashford,233470.5
01/08,Ashford,233470.5
02/08,Ashford,233470.5
03/08,Ashford,233470.5
04/08,Ashford,233470.5
05/08,Ashford,233470.5
06/08,Ashford,233470.5
07/08,Ashford,233470.5
08/08,Ashford,233470.5
09/08,Ashford,233470.5
10/08,Ashford,192280.0
11/08,Ashford,274375.0
12/08,Ashford,159000.0
01/09,Ashford,246950.0
02/09,Ashford,217500.0
03/09,Ashford,191280.0
04/09,Ashford,136800.0
05/09,Ashford,115000.0
06/09,Ashford,258448.0
07/09,Ashford,189842.86
08/09,Ashford,199700.0
09/09,Ashford,163100.0
10/09,Ashford,188500.0
11/09,Ashford,328166.67
12/09,Ashford,213166.67
01/10,Ashford,293000.0
02/10,Ashford,171250.0
03/10,Ashford,138680.25
04/10,Ashford,216437.5
05/10,Ashford,184600.0
06/10,Ashford,209633.33
07/10,Ashford,182250.0
08/10,Ashford,216000.0
09/10,Ashford,160333.33
10/10,Ashford,225330.73
11/10,Ashford,280000.0
12/10,Ashford,195300.0
01/11,Ashford,124660.0
02/11,Ashford,224538.73
03/11,Ashford,164925.0
04/11,Ashford,121766.67
05/11,Ashford,183550.0
06/11,Ashford,135700.0
07/11,Ashford,116333.33
08/11,Ashford,258560.0
09/11,Ashford,179833.33
10/11,Ashford,220547.44
11/11,Ashford,220547.44
12/11,Ashford,220547.44
01/12,Ashford,220547.44
02/12,Ashford,220547.44
03/12,Ashford,220547.44
04/12,Ashford,220547.44
05/12,Ashford,220547.44
06/12,Ashford,220547.44
07/12,Ashford,220547.44
08/12,Ashford,220547.44
09/12,Ashford,220547.44
10/12,Ashford,183000.0
11/12,Ashford,137300.0
12/12,Ashford,85000.0
01/13,Ashford,142000.0
02/13,Ashford,240000.0
03/13,Ashford,222687.5
04/13,Ashford,163500.0
05/13,Ashford,177872.64
06/13,Ashford,131550.0
07/13,Ashford,226233.33
08/13,Ashford,136466.67
09/13,Ashford,132040.2
10/13,Ashford,214730.75
11/13,Ashford,119750.0
12/13,Ashford,118163.5
01/14,Ashford,160500.0
02/14,Ashford,106000.0
03/14,Ashford,189721.67
04/14,Ashford,146666.67
05/14,Ashford,164500.0
06/14,Ashford,190000.0
07/14,Ashford,154350.0
08/14,Ashford,190800.0
09/14,Ashford,214986.36
10/14,Ashford,175625.0
11/14,Ashford,148950.0
12/14,Ashford,168110.71
01/15,Ashford,272000.0
02/15,Ashford,168475.0
03/15,Ashford,119666.67
04/15,Ashford,217500.0
05/15,Ashford,227100.0
06/15,Ashford,256133.33
07/15,Ashford,200375.0
08/15,Ashford,87000.0
09/15,Ashford,211000.0
10/15,Ashford,257287.5
11/15,Ashford,208335.96
12/15,Ashford,152800.0
01/16,Ashford,155235.75
02/16,Ashford,179831.3
03/16,Ashford,58020.0
04/16,Ashford,249250.0
05/16,Ashford,235500.0
06/16,Ashford,184787.5
07/16,Ashford,152000.0
08/16,Ashford,190757.14
09/16,Ashford,149530.0
10/16,Ashford,205814.83
11/16,Ashford,205814.83
12/16,Ashford,205814.83
01/17,Ashford,205814.83
02/17,Ashford,205814.83
03/17,Ashford,205814.83
04/17,Ashford,205814.83
05/17,Ashford,205814.83
06/17,Ashford,205814.83
07/17,Ashford,205814.83
08/17,Ashford,205814.83
09/17,Ashford,205814.83
10/17,Ashford,250316.67
11/17,Ashford,168416.67
12/17,Ashford,202597.6
01/18,Ashford,142302.5
02/18,Ashford,200092.0
03/18,Ashford,168350.0
04/18,Ashford,156900.0
05/18,Ashford,179800.0
06/18,Ashford,254200.0
07/18,Ashford,197270.34
08/18,Ashford,223460.0
09/18,Ashford,226475.0
10/18,Ashford,170716.25
11/18,Ashford,130083.33
12/18,Ashford,150000.0
01/19,Ashford,280000.0
02/19,Ashford,147720.0
03/19,Ashford,222583.33
04/19,Ashford,150500.0
05/19,Ashford,95200.0
06/19,Ashford,200666.67
07/19,Ashford,201666.11
08/19,Ashford,223140.0
09/19,Ashford,258250.0
10/19,Ashford,181250.0
11/19,Ashford,272333.33
12/19,Ashford,127693.83
01/20,Ashford,192633.33
02/20,Ashford,126341.5
03/20,Ashford,187780.0
04/20,Ashford,171363.0
05/20,Ashford,269000.0
06/20,Ashford,218750.0
07/20,Ashford,208625.0
08/20,Ashford,195730.0
09/20,Ashford,212900.0
10/20,Ashford,245800.0
11/20,Ashford,263857.7
12/20,Ashford,202722.22
01/21,Ashford,216359.8
02/21,Ashford,241250.0
03/21,Ashford,240231.25
04/21,Ashford,229662.5
05/21,Ashford,196737.5
06/21,Ashford,189000.0
07/21,Ashford,282000.0
08/21,Ashford,260333.33
09/21,Ashford,245000.0
10/21,Ashford,205301.88
11/21,Ashford,205301.88
12/21,Ashford,205301.88
01/22,Ashford,205301.88
02/22,Ashford,205301.88
03/22,Ashford,205301.88
04/22,Ashford,205301.88
05/22,Ashford,205301.88
06/22,Ashford,205301.88
07/22,Ashford,205301.88
08/22,Ashford,205301.88
09/22,Ashford,205301.88
10/22,Ashford,205301.88
11/22,Ashford,205301.88
12/22,Ashford,205301.88
10/06,Avon,463269.57
11/06,Avon,538402.95
12/06,Avon,553564.29
01/07,Avon,627322.22
02/07,Avon,520090.0
03/07,Avon,466935.29
04/07,Avon,484987.5
05/07,Avon,492167.67
06/07,Avon,538233.64
07/07,Avon,553907.68
08/07,Avon,603474.19
09/07,Avon,534675.0
10/07,Avon,540140.0
11/07,Avon,505044.44
12/07,Avon,688493.33
01/08,Avon,467350.67
02/08,Avon,423919.23
03/08,Avon,456806.67
04/08,Avon,519285.71
05/08,Avon,650478.12
06/08,Avon,542156.76
07/08,Avon,508285.71
08/08,Avon,552271.43
09/08,Avon,525032.35
10/08,Avon,483489.63
11/08,Avon,483489.63
12/08,Avon,483489.63
01/09,Avon,483489.63
02/09,Avon,483489.63
03/09,Avon,544988.89
04/09,Avon,534291.67
05/09,Avon,484842.65
06/09,Avon,484842.65
07/09,Avon,484842.65
08/09,Avon,484842.65
09/09,Avon,484842.65
10/09,Avon,637777.5
11/09,Avon,458062.5
12/09,Avon,409625.0
01/10,Avon,409380.0
02/10,Avon,534857.14
03/10,Avon,502459.86
04/10,Avon,399712.5
05/10,Avon,411785.71
06/10,Avon,426598.03
07/10,Avon,525197.86
08/10,Avon,516815.79
09/10,Avon,600342.86
10/10,Avon,536130.77
11/10,Avon,508578.95
12/10,Avon,464588.89
01/11,Avon,516909.09
02/11,Avon,428683.33
03/11,Avon,504625.0
04/11,Avon,487887.5
05/11,Avon,457417.5
06/11,Avon,522089.29
07/11,Avon,591000.0
08/11,Avon,513957.69
09/11,Avon,500831.58
10/11,Avon,624879.64
11/11,Avon,557550.0
12/11,Avon,374966.67
01/12,Avon,396183.8
02/12,Avon,408984.62
03/12,Avon,603385.71
04/12,Avon,483223.21
05/12,Avon,431042.31
06/12,Avon,632210.62
07/12,Avon,503118.41
08/12,Avon,471459.23
09/12,Avon,568614.19
10/12,Avon,498933.61
11/12,Avon,494679.77
12/12,Avon,456226.74
01/13,Avon,451347.19
02/13,Avon,589345.17
03/13,Avon,644607.69
04/13,Avon,466308.33
05/13,Avon,497968.86
06/13,Avon,587391.65
07/13,Avon,459950.0
08/13,Avon,650139.14
09/13,Avon,486871.62
10/13,Avon,491959.1
11/13,Avon,491959.1
12/13,Avon,491959.1
01/14,Avon,491959.1
02/14,Avon,491959.1
03/14,Avon,491959.1
04/14,Avon,491959.1
05/14,Avon,491959.1
06/14,Avon,491959.1
07/14,Avon,491959.1
08/14,Avon,491959.1
09/14,Avon,491959.1
10/14,Avon,525904.73
11/14,Avon,421506.15
12/14,Avon,453618.18
01/15,Avon,508617.65
02/15,Avon,570047.21
03/15,Avon,444685.8
04/15,Avon,561197.29
05/15,Avon,397953.85
06/15,Avon,467273.43
07/15,Avon,506822.16
08/15,Avon,490485.71
09/15,Avon,570875.0
10/15,Avon,579292.38
11/15,Avon,477789.89
12/15,Avon,455426.74
01/16,Avon,390409.09
02/16,Avon,381818.18
03/16,Avon,410066.67
04/16,Avon,398277.78
05/16,Avon,501401.0
06/16,Avon,444380.56
07/16,Avon,528079.15
08/16,Avon,471233.72
09/16,Avon,465458.04
10/16,Avon,453569.58
11/16,Avon,414759.33
12/16,Avon,412320.92
01/17,Avon,384740.79
02/17,Avon,480840.0
03/17,Avon,490408.62
04/17,Avon,409841.67
05/17,Avon,371473.08
06/17,Avon,458522.73
07/17,Avon,481443.24
08/17,Avon,461521.62
09/17,Avon,406785.71
10/17,Avon,516266.67
11/17,Avon,328153.85
12/17,Avon,378644.12
01/18,Avon,641309.09
02/18,Avon,507860.71
03/18,Avon,384361.54
04/18,Avon,492833.33
05/18,Avon,421485.71
06/18,Avon,486884.38
07/18,Avon,422666.67
08/18,Avon,478740.62
09/18,Avon,392296.71
10/18,Avon,483502.76
11/18,Avon,483502.76
12/18,Avon,483502.76
01/19,Avon,483502.76
02/19,Avon,483502.76
03/19,Avon,483502.76
04/19,Avon,483502.76
05/19,Avon,483502.76
06/19,Avon,483502.76
07/19,Avon,483502.76
08/19,Avon,483502.76
09/19,Avon,483502.76
10/19,Avon,438809.82
11/19,Avon,373343.75
12/19,Avon,382035.87
01/20,Avon,389958.33
02/20,Avon,335416.67
03/20,Avon,419408.33
04/20,Avon,439204.23
05/20,Avon,468506.67
06/20,Avon,390620.62
07/20,Avon,493726.0
08/20,Avon,489047.22
09/20,Avon,438685.58
10/20,Avon,335791.08
11/20,Avon,420121.13
12/20,Avon,425786.67
01/21,Avon,355641.38
02/21,Avon,393373.86
03/21,Avon,418442.2
04/21,Avon,524994.12
05/21,Avon,448444.05
06/21,Avon,497082.24
07/21,Avon,472789.58
08/21,Avon,485217.31
09/21,Avon,425610.83
10/21,Avon,452288.46
11/21,Avon,517649.21
12/21,Avon,443224.47
01/22,Avon,431777.78
02/22,Avon,420869.0
03/22,Avon,445507.08
04/22,Avon,438934.82
05/22,Avon,494630.22
06/22,Avon,532148.36
07/22,Avon,481566.41
08/22,Avon,519484.62
09/22,Avon,491965.85
10/22,Avon,476646.97
11/22,Avon,476646.97
12/22,Avon,476646.97
10/06,Barkhamsted,280975.0
11/06,Barkhamsted,307500.0
12/06,Barkhamsted,243071.43
01/07,Barkhamsted,231500.0
02/07,Barkhamsted,206000.0
03/07,Barkhamsted,285000.0
04/07,Barkhamsted,187764.29
05/07,Barkhamsted,211700.0
06/07,Barkhamsted,369800.0
07/07,Barkhamsted,307179.67
08/07,Barkhamsted,346333.33
09/07,Barkhamsted,164714.29
10/07,Barkhamsted,193000.0
11/07,Barkhamsted,252956.4
12/07,Barkhamsted,221250.0
01/08,Barkhamsted,371933.33
02/08,Barkhamsted,359250.0
03/08,Barkhamsted,360600.0
04/08,Barkhamsted,249950.0
05/08,Barkhamsted,454900.0
06/08,Barkhamsted,181880.0
07/08,Barkhamsted,256700.0
08/08,Barkhamsted,230000.0
09/08,Barkhamsted,242000.0
10/08,Barkhamsted,278167.07
11/08,Barkhamsted,278167.07
12/08,Barkhamsted,278167.07
01/09,Barkhamsted,278167.07
02/09,Barkhamsted,278167.07
03/09,Barkhamsted,278167.07
04/09,Barkhamsted,278167.07
05/09,Barkhamsted,278167.07
06/09,Barkhamsted,278167.07
07/09,Barkhamsted,278167.07
08/09,Barkhamsted,278167.07
09/09,Barkhamsted,278167.07
10/09,Barkhamsted,205000.0
11/09,Barkhamsted,318000.0
12/09,Barkhamsted,183250.0
01/10,Barkhamsted,48000.0
02/10,Barkhamsted,119282.0
03/10,Barkhamsted,435000.0
04/10,Barkhamsted,239000.0
05/10,Barkhamsted,259000.0
06/10,Barkhamsted,222800.0
07/10,Barkhamsted,200000.0
08/10,Barkhamsted,256100.0
09/10,Barkhamsted,236225.0
10/10,Barkhamsted,246955.0
11/10,Barkhamsted,195300.0
12/10,Barkhamsted,46200.0
01/11,Barkhamsted,235800.0
02/11,Barkhamsted,315000.0
03/11,Barkhamsted,178666.67
04/11,Barkhamsted,184500.0
05/11,Barkhamsted,240000.0
06/11,Barkhamsted,375000.0
07/11,Barkhamsted,275500.0
08/11,Barkhamsted,230000.0
09/11,Barkhamsted,267077.99
10/11,Barkhamsted,154000.0
11/11,Barkhamsted,334500.0
12/11,Barkhamsted,190000.0
01/12,Barkhamsted,312450.0
02/12,Barkhamsted,170000.0
03/12,Barkhamsted,127966.0
04/12,Barkhamsted,284750.0
05/12,Barkhamsted,149375.0
06/12,Barkhamsted,243750.0
07/12,Barkhamsted,252000.0
08/12,Barkhamsted,232450.0
09/12,Barkhamsted,283333.33
10/12,Barkhamsted,130000.0
11/12,Barkhamsted,220200.0
12/12,Barkhamsted,167567.14
01/13,Barkhamsted,259000.0
02/13,Barkhamsted,129350.0
03/13,Barkhamsted,315000.0
04/13,Barkhamsted,122833.33
05/13,Barkhamsted,339666.67
06/13,Barkhamsted,259631.47
07/13,Barkhamsted,204500.0
08/13,Barkhamsted,215518.57
09/13,Barkhamsted,205625.0
10/13,Barkhamsted,258424.78
11/13,Barkhamsted,258424.78
12/13,Barkhamsted,258424.78
01/14,Barkhamsted,258424.78
02/14,Barkhamsted,258424.78
03/14,Barkhamsted,258424.78
04/14,Barkhamsted,258424.78
05/14,Barkhamsted,258424.78
06/14,Barkhamsted,258424.78
07/14,Barkhamsted,258424.78
08/14,Barkhamsted,258424.78
09/14,Barkhamsted,258424.78
10/14,Barkhamsted,222571.43
11/14,Barkhamsted,208000.0
12/14,Barkhamsted,240433.33
01/15,Barkhamsted,266666.67
02/15,Barkhamsted,152582.25
03/15,Barkhamsted,259812.5
04/15,Barkhamsted,178983.33
05/15,Barkhamsted,295625.0
06/15,Barkhamsted,184600.0
07/15,Barkhamsted,263725.0
08/15,Barkhamsted,231300.0
09/15,Barkhamsted,178625.0
10/15,Barkhamsted,173925.0
11/15,Barkhamsted,181200.0
12/15,Barkhamsted,249900.0
01/16,Barkhamsted,269666.67
02/16,Barkhamsted,151324.0
03/16,Barkhamsted,192463.75
04/16,Barkhamsted,222916.67
05/16,Barkhamsted,250000.0
06/16,Barkhamsted,215000.0
07/16,Barkhamsted,195000.0
08/16,Barkhamsted,270400.0
09/16,Barkhamsted,300500.0
10/16,Barkhamsted,227500.0
11/16,Barkhamsted,335000.0
12/16,Barkhamsted,281100.0
01/17,Barkhamsted,253333.33
02/17,Barkhamsted,334666.67
03/17,Barkhamsted,303333.33
04/17,Barkhamsted,254204.46
05/17,Barkhamsted,203208.33
06/17,Barkhamsted,234756.25
07/17,Barkhamsted,275333.33
08/17,Barkhamsted,423837.5
09/17,Barkhamsted,180750.0
10/17,Barkhamsted,318750.0
11/17,Barkhamsted,260500.0
12/17,Barkhamsted,276625.0
01/18,Barkhamsted,174500.0
02/18,Barkhamsted,281750.0
03/18,Barkhamsted,266000.0
04/18,Barkhamsted,259914.29
05/18,Barkhamsted,191250.0
06/18,Barkhamsted,277000.0
07/18,Barkhamsted,192180.0
08/18,Barkhamsted,235877.78
09/18,Barkhamsted,279080.0
10/18,Barkhamsted,254260.99
11/18,Barkhamsted,254260.99
12/18,Barkhamsted,254260.99
01/19,Barkhamsted,254260.99
02/19,Barkhamsted,254260.99
03/19,Barkhamsted,254260.99
04/19,Barkhamsted,254260.99
05/19,Barkhamsted,254260.99
06/19,Barkhamsted,254260.99
07/19,Barkhamsted,254260.99
08/19,Barkhamsted,254260.99
09/19,Barkhamsted,254260.99
10/19,Barkhamsted,252975.0
11/19,Barkhamsted,252000.0
12/19,Barkhamsted,207100.0
01/20,Barkhamsted,280166.67
02/20,Barkhamsted,171633.33
03/20,Barkhamsted,253967.67
04/20,Barkhamsted,330750.0
05/20,Barkhamsted,214383.33
06/20,Barkhamsted,234220.0
07/20,Barkhamsted,245200.0
08/20,Barkhamsted,277717.65
09/20,Barkhamsted,233740.0
10/20,Barkhamsted,233388.89
11/20,Barkhamsted,393484.29
12/20,Barkhamsted,282158.33
01/21,Barkhamsted,245000.0
02/21,Barkhamsted,289000.0
03/21,Barkhamsted,269950.0
04/21,Barkhamsted,253333.33
05/21,Barkhamsted,189533.33
06/21,Barkhamsted,295250.28
07/21,Barkhamsted,285266.67
08/21,Barkhamsted,275931.67
09/21,Barkhamsted,282185.71
10/21,Barkhamsted,349300.0
11/21,Barkhamsted,310557.14
12/21,Barkhamsted,150500.0
01/22,Barkhamsted,313333.33
02/22,Barkhamsted,365117.0
03/22,Barkhamsted,328333.33
04/22,Barkhamsted,485000.0
05/22,Barkhamsted,251405.0
06/22,Barkhamsted,347750.0
07/22,Barkhamsted,294400.0
