Town,Date,Sale Amount
Waterford,2019-09-01,223138.433
Waterford,2019-10-01,277240.323
Waterford,2019-11-01,231989.852
Waterford,2019-12-01,258297.824
Waterford,2020-01-01,257300.0
Waterford,2020-02-01,248460.417
Waterford,2020-03-01,217297.368
Waterford,2020-04-01,297118.0
Waterford,2020-05-01,260241.667
Waterford,2020-06-01,275820.37
Waterford,2020-07-01,270241.057
Waterford,2020-08-01,293087.31
Waterford,2020-09-01,280230.0
Waterford,2020-10-01,283468.818
Waterford,2020-11-01,276938.043
Waterford,2020-12-01,299323.636
Waterford,2021-01-01,275475.0
Waterford,2021-02-01,309655.172
Waterford,2021-03-01,234572.619
Waterford,2021-04-01,275800.854
Waterford,2021-05-01,296271.429
Waterford,2021-06-01,326032.417
Waterford,2021-07-01,317688.043
Waterford,2021-08-01,297478.756
Waterford,2021-09-01,264155.981
Waterford,2021-10-01,324506.784
Waterford,2021-11-01,288585.521
Waterford,2021-12-01,323828.889
Waterford,2022-01-01,280334.483
Waterford,2022-02-01,338880.435
Waterford,2022-03-01,300248.0
Waterford,2022-04-01,307132.0
Waterford,2022-05-01,323083.15
Waterford,2022-06-01,308747.267
Waterford,2022-07-01,287081.579
Waterford,2022-08-01,300014.545
Waterford,2022-09-01,368306.25
Watertown,2006-10-01,288569.261
Watertown,2006-11-01,256216.667
Watertown,2006-12-01,222065.182
Watertown,2007-01-01,260025.421
Watertown,2007-02-01,254873.077
Watertown,2007-03-01,270569.524
Watertown,2007-04-01,250518.182
Watertown,2007-05-01,245858.333
Watertown,2007-06-01,275816.0
Watertown,2007-07-01,328144.714
Watertown,2007-08-01,273929.634
Watertown,2007-09-01,283118.6
Watertown,2007-10-01,259689.438
Watertown,2007-11-01,279450.0
Watertown,2007-12-01,273490.0
Watertown,2008-01-01,244120.0
Watertown,2008-02-01,303761.786
Watertown,2008-03-01,246803.957
Watertown,2008-04-01,237198.273
Watertown,2008-05-01,299650.0
Watertown,2008-06-01,246849.214
Watertown,2008-07-01,280209.524
Watertown,2008-08-01,235560.467
Watertown,2008-09-01,254761.538
Watertown,2008-10-01,252740.721
Watertown,2008-11-01,250719.903
Watertown,2008-12-01,248699.086
Watertown,2009-01-01,246678.268
Watertown,2009-02-01,244657.45
Watertown,2009-03-01,242636.633
Watertown,2009-04-01,240615.815
Watertown,2009-05-01,238594.997
Watertown,2009-06-01,236574.18
Watertown,2009-07-01,234553.362
Watertown,2009-08-01,232532.544
Watertown,2009-09-01,230511.727
Watertown,2009-10-01,228490.909
Watertown,2009-11-01,257600.0
Watertown,2009-12-01,193830.0
Watertown,2010-01-01,235418.182
Watertown,2010-02-01,170500.0
