Town,Sale Amount,Date,Projected,Lower_CI,Upper_CI
Andover,191205.3,2019-02-01,False,,
Andover,292500.0,2019-03-01,False,,
Andover,398060.0,2019-04-01,False,,
Andover,785200.0,2019-05-01,False,,
Andover,384583.3333333333,2019-06-01,False,,
Andover,426088.0,2019-07-01,False,,
Andover,294720.0,2019-08-01,False,,
Andover,425273.3333333333,2019-09-01,False,,
Andover,295425.0,2019-10-01,False,,
Andover,246324.0,2019-11-01,False,,
Andover,340166.6666666667,2019-12-01,False,,
Andover,289011.6666666667,2020-01-01,False,,
Andover,202735.0,2020-02-01,False,,
Andover,244661.95,2020-03-01,False,,
Andover,347143.3333333333,2020-04-01,False,,
Andover,371366.6666666667,2020-05-01,False,,
Andover,343200.0,2020-06-01,False,,
Andover,336515.8333333333,2020-07-01,False,,
Andover,550875.0,2020-08-01,False,,
Andover,282100.0,2020-09-01,False,,
Andover,331456.6666666667,2020-10-01,False,,
Andover,376967.5,2020-11-01,False,,
Andover,426374.0,2020-12-01,False,,
Andover,395514.78571428574,2021-01-01,False,,
Andover,320893.0007627551,2021-02-01,False,,
Andover,350328.3333333333,2021-03-01,False,,
Andover,347204.0,2021-04-01,False,,
Andover,321587.5,2021-05-01,False,,
Andover,391534.0,2021-06-01,False,,
Andover,566432.75,2021-07-01,False,,
Andover,454999.8555555555,2021-08-01,False,,
Andover,210816.66666666663,2021-09-01,False,,
Andover,320893.0007627551,2021-10-01,False,,
Andover,320893.0007627551,2021-11-01,False,,
Andover,320893.0007627551,2021-12-01,False,,
Andover,320893.0007627551,2022-01-01,False,,
Andover,320893.0007627551,2022-02-01,False,,
Andover,320893.0007627551,2022-03-01,False,,
Andover,320893.0007627551,2022-04-01,False,,
Andover,320893.0007627551,2022-05-01,False,,
Andover,320893.0007627551,2022-06-01,False,,
Andover,320893.0007627551,2022-07-01,False,,
Andover,320893.0007627551,2022-08-01,False,,
Andover,320893.0007627551,2022-09-01,False,,
Andover,320893.0007627551,2022-10-01,False,,
Andover,320893.0007627551,2022-11-01,False,,
Andover,320893.0007627551,2022-12-01,False,,
Andover,307102.4527170865,2023-01-01,True,52960.3316393611,561244.5737948118
Andover,293457.837289755,2023-02-01,True,24276.458424765035,562639.216154745
Andover,300342.226688889,2023-03-01,True,22557.35982142348,578127.0935563545
Andover,336392.8218911082,2023-04-01,True,52401.58869994932,620384.055082267
Andover,377922.7482996006,2023-05-01,True,87857.91275273875,667987.5838464624
Andover,312718.1873376763,2023-06-01,True,16704.341145451588,608732.033529901
Andover,354723.4367422089,2023-07-01,True,52877.74581073964,656569.1276736781
Andover,356352.05034763995,2023-08-01,True,48784.96396477864,663919.1367305012
Andover,287390.12261750235,2023-09-01,True,-25793.34298382909,600573.5882188338
Andover,299966.2703767042,2023-10-01,True,-18734.806855423783,618667.3476088322
Andover,301889.0747461416,2023-11-01,True,-22235.700438224187,626013.8499305074
Andover,341750.3104136434,2023-12-01,True,12291.112286554126,671209.5085407328
Andover,310523.1005586741,2024-01-01,True,-38865.104226621625,659911.3053439697
Andover,295008.62648179126,2024-02-01,True,-63207.716341113846,653224.9693046964
Andover,300797.79186207283,2024-03-01,True,-65084.41293064505,666679.9966547907
Andover,336848.38706429204,2024-04-01,True,-36118.83302140894,709815.6071499931
Andover,378378.3134727844,2024-05-01,True,-1541.818622853316,758298.4455684221
Andover,313173.7525108601,2024-06-01,True,-73574.31319156726,699921.8182132875
Andover,355179.0019153927,2024-07-01,True,-38278.62076651538,748636.6245973008
Andover,356807.61552082375,2024-08-01,True,-43247.24013368605,756862.4711753335
Andover,287845.68779068615,2024-09-01,True,-118699.80816850759,694391.18374988
Andover,300421.835549888,2024-10-01,True,-112511.22837869421,713354.8994784702
Andover,302344.6399193254,2024-11-01,True,-116878.67739737075,721567.9572360215
Andover,342205.8755868272,2024-12-01,True,-83214.69796244049,767626.4491360949
Andover,310978.6657318578,2025-01-01,True,-133749.81678595464,755707.1482496703
Andover,295464.191654975,2025-02-01,True,-158749.62968027702,749678.012990227
Andover,301253.35703525663,2025-03-01,True,-161369.9665759313,763876.6806464446
Andover,337303.95223747584,2025-04-01,True,-133182.0985376021,807790.0030125538
Andover,378833.8786459682,2025-05-01,True,-99385.6404595729,857053.3977515093
Andover,313629.3176840439,2025-06-01,True,-172200.58360613987,799459.2189742277
Andover,355634.5670885765,2025-07-01,True,-137688.44249022222,848957.5766673752
Andover,357263.18069400755,2025-08-01,True,-143441.05076905614,857967.4121570713
Andover,288301.25296386995,2025-09-01,True,-219677.99479502026,796280.5007227601
Andover,300877.4007230718,2025-10-01,True,-214272.31188199745,816027.1133281412
Andover,302800.2050925092,2025-11-01,True,-219421.52547373442,825021.9356587529
Andover,342661.440760011,2025-12-01,True,-186537.80858950847,871860.6901095305
Ansonia,325197.6,2006-10-01,False,,
Ansonia,298136.49047619046,2006-11-01,False,,
